key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Eten G500+;Eten;G500+;;No;2006  August;119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in);191;Mini-SIM;2.8 inches| 42 x 57 mm (~32.9% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 5.0 PocketPC;Samsung S3C 2440 400 MHz;;miniSD;256 MB ROM;64 MB RAM;1.3 MP| LED flash;No;Yes;No;2.0;Yes SiRF Star III chipset;;Stereo FM radio| RDS;Yes;;Removable Li-Ion 1440 mAh battery;;;http://cdn2.gsmarena.com/vv/bigpic/eten-g500p.gif
Eten M600+;Eten;M600+;;No;2006  June;111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in);174;Mini-SIM;2.8 inches| 42 x 57 mm (~35.8% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 5.0 PocketPC;Samsung S3C 2440 400 MHz;;SD/SDIO;256 MB ROM;64 MB RAM;2 MP;No;Yes;No;2.0;No;;No;Yes;;Removable Li-Ion 1440 mAh battery;;320;http://cdn2.gsmarena.com/vv/bigpic/eten-m600p.gif
Eten G500;Eten;G500;;No;2006  1Q;119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in);191;Mini-SIM;2.8 inches| 42 x 57 mm (~32.9% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 5.0 PocketPC;Samsung S3C2440 400 MHz;;miniSD;128 MB ROM;64 MB RAM;1.3 MP| LED flash;No;Yes;No;2.0;Yes;;No;Yes;;Removable Li-Ion 1440 mAh battery;;300;http://cdn2.gsmarena.com/vv/bigpic/eten-g500.gif
Eten M600;Eten;M600;;No;2005  4Q;111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in);165;Mini-SIM;2.8 inches| 42 x 57 mm (~35.8% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 5.0 PocketPC;Samsung 2440 400 MHz;;SD/SDIO;128 MB ROM;64 MB RAM;1.3 MP| LED flash;No;Yes;No;1.vlj;No;;No;Yes;;Removable Li-Ion 1440 mAh battery;;310;http://cdn2.gsmarena.com/vv/bigpic/eten-m600.gif
Eten M500;Eten;M500;;No;2004  4Q;111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in);170;Mini-SIM;2.8 inches| 42 x 57 mm (~35.8% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 2003 SE PocketPC;Samsung S3C 2440 400 MHz;;SD/SDIO;128 MB ROM;64 MB RAM;1.3 MP;No;Yes;No;1.sij;No;;No;Yes;;Removable Li-Ion 1440 mAh battery;;;http://cdn2.gsmarena.com/vv/bigpic/eten-m500.gif
Eten P300B;Eten;P300B;;No;2004  2Q;117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in);165;Mini-SIM;2.8 inches| 42 x 57 mm (~31.0% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 2003 PocketPC;Samsung 2410 200 MHz;;SD/SDIO;64 MB;64 MB RAM;;;Yes;No;1.sij;No;;No;Yes;;Removable Li-Po 1300 mAh battery;;;http://cdn2.gsmarena.com/vv/bigpic/eten-p300b.gif
Eten P300;Eten;P300;;No;2004  2Q;117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in);165;Mini-SIM;2.8 inches| 42 x 57 mm (~31.0% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Microsoft Windows Mobile 2003 PocketPC;Samsung 2410 200 MHz;;SD/SDIO;32 MB ROM;64 MB RAM;VGA;No;Yes;No;No;No;;No;Yes;;Removable Li-Po 1050 mAh battery;;;http://cdn2.gsmarena.com/vv/bigpic/eten-p300.gif
Eten P700;Eten;P700;;No;2004  1Q;131 x 78 x 21 mm (5.16 x 3.07 x 0.83 in);200;Mini-SIM;3.5 inches| 53 x 71 mm (~37.1% screen-to-body ratio);240 x 320 pixels (~114 ppi pixel density);Microsoft Windows Mobile 2003 PocketPC;Intel PXA255 400 MHz;;SD/SDIO;64 MB;64 MB RAM;;;Yes;No;1.sij;No;;No;Yes;;Removable Li-Ion 1440 mAh battery;;;http://cdn2.gsmarena.com/vv/bigpic/eten-p700.gif
Fujitsu Siemens T830;Fujitsu Siemens;T830;;No;2006  August;126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in);190;Mini-SIM;2.4 inches (~23.0% screen-to-body ratio);240 x 240 pixels (~141 ppi pixel density);Microsoft Windows Mobile 5.0 Phone Edition;Intel PXA272 416 MHz;;SD;128 MB ROM;64 MB RAM;2 MP| autofocus;VGA videocall camera;Yes;No;2.0;Yes SiRF GCS3F receiver;;No;Yes;;Removable Li-Ion 1500 mAh battery;Silver;;http://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif
Fujitsu Siemens T810;Fujitsu Siemens;T810;;No;2006  August;126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in);190;Mini-SIM;2.4 inches (~23.0% screen-to-body ratio);240 x 240 pixels (~141 ppi pixel density);Microsoft Windows Mobile 5.0 Phone Edition;Intel PXA272 416 MHz;;SD;128 MB ROM;64 MB RAM;;;Yes;No;2.0;Yes SiRF GCS3F receiver;;No;Yes;;Removable Li-Ion 1500 mAh battery;Silver;;http://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif
Garmin-Asus A10;Garmin-Asus;A10;;Class 10;2010  April. Released 2010  July;-;;Mini-SIM;3.2 inches;320 x 480 pixels (~180 ppi pixel density);Android 2.1 (Eclair);;;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;5 MP| autofocus;No;Yes;Yes;2.0| A2DP| EDR;Yes with A-GPS Garmin navigation;;No;2.0;Accelerometer| compass;Removable Li-Ion 1500 mAh battery;Black;310;http://cdn2.gsmarena.com/vv/bigpic/garmin-asus-a10.jpg
Garmin-Asus nuvifone A50;Garmin-Asus;nuvifone A50;;Class 10;2010  February. Released 2010  Q3;116 x 62.2 x 12 mm (4.57 x 2.45 x 0.47 in);136;Mini-SIM;3.5 inches (~50.6% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 2.1 (Eclair);600 MHz ARM 11;Adreno 200;microSD  up to 32 GB (dedicated slot);4 GB;256 MB RAM;3.15 MP| autofocus;No;Yes;No;2.0| A2DP| EDR;Yes with A-GPS Garmin navigation;;No;2.0;Accelerometer| compass;Removable Li-Ion 1150 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-a50.jpg
Garmin-Asus nuvifone M10;Garmin-Asus;nuvifone M10;;Class 10;2010  January. Released 2010  March;-;;Mini-SIM;3.5 inches;480 x 800 pixels (~267 ppi pixel density);Microsoft Windows Mobile 6.5.3 Professional;600 MHz ARM 11;Adreno 200;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM| 512 MB ROM;5 MP| autofocus;;Yes;Yes;2.0| A2DP;Yes with A-GPS;;No;2.0;Accelerometer;Removable Li-Ion 1500 mAh battery;Black| White;310;http://cdn2.gsmarena.com/vv/bigpic/garmin-asus-nuvifone-m10.jpg
Garmin-Asus nuvifone G60;Garmin-Asus;nuvifone G60;;Class 10;2009  February. Released 2009  October;112 x 58 x 14 mm (4.41 x 2.28 x 0.55 in);137;Mini-SIM;3.55 inches (~53.7% screen-to-body ratio);272 x 480 pixels (~155 ppi pixel density);Linux;;;microSD  up to 16 GB (dedicated slot);4 GB;128 MB RAM;3.15 MP| autofocus;No;Yes;No;2.0| A2DP;Yes;;No;2.0;;Removable Li-Ion 1100 mAh battery;Black;190;http://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-g60.jpg
Garmin-Asus nuvifone M20;Garmin-Asus;nuvifone M20;;Class 10;2009  February. Released 2009  September;95.3 x 52.5 x 12.8 mm (3.75 x 2.07 x 0.50 in);99;Mini-SIM;2.8 inches (~48.5% screen-to-body ratio);480 x 640 pixels (~286 ppi pixel density);Microsoft Windows Mobile 6.1 Professional| upgradeable to Windows Mobile 6.5;528 MHz ARM 11;Adreno 130;No;4/8 GB;;3.15 MP| autofocus;Yes;Yes;No;2.0| A2DP;Yes;;No;2.0;Accelerometer;Removable Li-Ion 920 mAh battery;Green| Red| Blue| Black;300;http://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-m20.jpg
Gigabyte GSmart Essence 4;Gigabyte;GSmart Essence 4;;Yes;2015  October;124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in);105;Dual SIM (Mini-SIM| dual stand-by);4.0 inches (~59.2% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.4 (KitKat);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;2 MP;VGA;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1300 mAh battery;Black;60;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg
Gigabyte GSmart Classic Lite;Gigabyte;GSmart Classic Lite;;Yes;2015  October;143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in);145;Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by);5.0 inches (~66.0% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.2 GHz;Mali-400;microSD  up to 32 GB (dedicated slot);8 GB;512 MB RAM;5 MP| LED flash;2 MP;Yes;Yes;2.sij;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2100 mAh battery;Black;80;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg
Gigabyte GSmart Essence;Gigabyte;GSmart Essence;;Yes;2015  October;134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in);125;Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by);4.5 inches (~62.2% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.2 GHz;Mali-400;microSD  up to 32 GB (dedicated slot);8 GB;512 MB RAM;5 MP| LED flash;2 MP;Yes;Yes;2.1| EDR;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1600 mAh battery;Black| White;70;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg
Gigabyte GSmart Classic;Gigabyte;GSmart Classic;;Yes;2015  October;145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in);150;Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by);5.0 inches (~65.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.2 GHz;Mali-400;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;2.1| EDR;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black| Gray;100;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg
Gigabyte GSmart Guru GX;Gigabyte;GSmart Guru GX;LTE band 3(1800)| 7(2600)| 20(800);Yes;2015  January;139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in);115;Dual SIM (Nano-SIM/ Micro-SIM);5.0 inches (~71.9% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.4 (KitKat);Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Adreno 405;microSD  up to 64 GB (dedicated slot);32 GB;2 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| LE;Yes with A-GPS GLONASS;;FM radio;microUSB 2.0;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 2300 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg
Gigabyte GSmart Mika MX;Gigabyte;GSmart Mika MX;LTE band 3(1800)| 7(2600)| 8(900);Yes;2015  January;143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in);165;Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~66.9% screen-to-body ratio);540 x 960 pixels (~220 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.2 GHz Cortex-A53;Adreno 306;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus;2 MP;Yes;Yes;4.0| LE;Yes with A-GPS GLONASS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 3000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg
