key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Acer Iconia Talk S;Acer;Iconia Talk S;LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800);Yes;2016  August;191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in);260;Dual SIM (Micro-SIM/Nano-SIM);7.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~210 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD  up to 128 GB (dedicated slot);16/32 GB;2 GB RAM;13 MP| autofocus;2 MP| 720p;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 3400 mAh battery (12.92 Wh);Black;170;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg
Acer Liquid Z6 Plus;Acer;Liquid Z6 Plus; LTE;Yes;2016  August;153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in);169;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~71.7% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD  up to 256 GB (uses SIM 2 slot);32 GB;3 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Fingerprint (front-mounted)| accelerometer| proximity;Removable Li-Po 4080 mAh battery;Black| White;250;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg
Acer Liquid Z6;Acer;Liquid Z6; LTE;Yes;2016  August;-;;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;microSD  up to 256 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black| White;120;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg
Acer Iconia Tab 10 A3-A40;Acer;Iconia Tab 10 A3-A40;;No;2016  April;259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in);;No;10.1 inches (~68.4% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720 MP2;microSD  up to 256 GB (dedicated slot);16/32/64 GB;2 GB RAM;5 MP;2 MP;Yes with stereo speakers (4 speakers);Yes;Yes;;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion battery;Black;230;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg
Acer Liquid X2;Acer;Liquid X2; LTE 800 / 1800 / 2100 / 2600 - Europe;Yes;2015  April;153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in);166;Triple SIM (Micro-SIM);5.5 inches (~69.0% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP4;microSD  up to 32 GB (dedicated slot);32 GB;3 GB RAM;13 MP| f/1.8| autofocus| LED flash| ;13 MP| f/1.8| autofocus| LED flash;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Po 4020 mAh battery;Black| Gold;230;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg
Acer Liquid Jade 2;Acer;Liquid Jade 2; LTE;Yes;2016  February;-;;Dual SIM (Nano-SIM| dual stand-by);5.5 inches;1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);;microSD  up to 256 GB;32 GB;3 GB RAM;21 MP| autofocus| dual-LED flash;8 MP;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| gyro| proximity| compass;;Black;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg
Acer Liquid Zest Plus;Acer;Liquid Zest Plus; LTE;Yes;2016  April;154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in);;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD (dedicated slot);16 GB;2 GB RAM;13 MP| phase detection/laser autofocus| LED flash;5 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Non-removable Li-Ion 5000 mAh battery;Blue| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg
Acer Liquid Zest;Acer;Liquid Zest; LTE;Yes;2016  February;145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in);125;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~66.4% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz - Z525;Mali-400MP2 - Z525;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;8 MP| f/2.0| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 2000 mAh battery;Black| White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg
Acer Predator 8;Acer;Predator 8;;No;2015  September;217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in);3538;No;8.0 inches (~67.1% screen-to-body ratio);1920 x 1200 pixels (~283 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.6 GHz;;microSD  up to 256 GB (dedicated slot);32/64 GB;2 GB RAM;5 MP;2 MP;Yes with stereo speakers (4 speakers);Yes;4.0| A2DP| LE;;;No;microUSB 2.0;Yes;Non-removable Li-Po 4420 mAh battery;Black/Silver;350;http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg
Acer Liquid Jade Primo;Acer;Liquid Jade Primo; LTE 800 / 1800 / 2100 / 2600 - Europe;Yes;2015  September;156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in);150;Dual SIM (Nano-SIM| dual stand-by);5.5 inches (~70.2% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Microsoft Windows 10;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;microSD  up to 256 GB (uses SIM 2 slot);32 GB;3 GB RAM;21 MP| f/2.2| autofocus| dual-LED flash| ;8 MP| f/2.2| 1080p@30fps;Yes;Yes;4.0| A2DP| LE| EDR;Yes with A-GPS;;FM radio;3.1| Type-C 1.0 reversible connector;Accelerometer| gyro| proximity| compass;Non-removable Li-Po 2870 mAh battery;Black;220;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg
Acer Liquid Z330;Acer;Liquid Z330; LTE;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSD (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg
Acer Liquid Z320;Acer;Liquid Z320;;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz Cortex-A7;Adreno 304;microSD (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Po 2000 mAh battery;Pure White;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg
Acer Liquid Z630S;Acer;Liquid Z630S; LTE;Yes;2015  September;156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in);165;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD (dedicated slot);32 GB;3 GB RAM;8 MP| autofocus| LED flash;8 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0| USB On-The-Go;Accelerometer| proximity| compass;Removable Li-Po 4000 mAh battery (15.2 Wh);Black| Gold;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg
Acer Liquid Z630;Acer;Liquid Z630; LTE;Yes;2015  September;156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in);165;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;8 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0| USB On-The-Go;Accelerometer| proximity| compass;Removable Li-Ion 4000 mAh battery;Black;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg
Acer Liquid Z530S;Acer;Liquid Z530S; LTE;Yes;2015  September;144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in);145;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~68.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD (dedicated slot);32 GB;3 GB RAM;8 MP| autofocus| LED flash;8 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2420 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg
Acer Liquid Z530;Acer;Liquid Z530; LTE;Yes;2015  September;144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in);145;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~68.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;8 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2420 mAh battery;Black| White;150;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg
Acer Liquid M330;Acer;Liquid M330; LTE;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Microsoft Windows 10;Quad-core 1.0 GHz Cortex-A7;Adreno 304;microSD (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg
Acer Liquid M320;Acer;Liquid M320;;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Microsoft Windows 10;Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSD (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg
Acer Iconia Tab 10 A3-A30;Acer;Iconia Tab 10 A3-A30;;No;2015  April;260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in);540;No;10.1 inches (~64.6% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.33 GHz;;microSD  up to 256 GB (dedicated slot);16/32/64 GB;2 GB RAM;5 MP;2 MP;Yes with stereo speakers;Yes;4.0| A2DP;A-GPS only;Yes;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion 5910 mAh battery (22 Wh);Various;250;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png
Acer Iconia One 8 B1-820;Acer;Iconia One 8 B1-820;;No;2015  April;213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in);355;No;8.0 inches (~67.9% screen-to-body ratio);800 x 1280 pixels (~189 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.33 GHz;;microSD  up to 32 GB (dedicated slot);16/32 GB;1 GB RAM;5 MP;VGA;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion 4550 mAh battery (17.2 Wh);Various;180;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg
Acer Iconia Tab A3-A20;Acer;Iconia Tab A3-A20;;No;2014  October;256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in);508;No;10.1 inches (~67.8% screen-to-body ratio);1280 x 800 pixels (~149 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-450MP4;microSD  up to 256 GB (dedicated slot);16 GB;1 GB RAM;5 MP| autofocus;2 MP;Yes with stereo speakers;Yes;4.0| A2DP;A-GPS only;;No;microUSB 2.0;Accelerometer;Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY);Black| White;190;http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg
Acer Iconia Tab A3-A20FHD;Acer;Iconia Tab A3-A20FHD;;No;2014  October;256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in);508;No;10.1 inches (~67.8% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.5 GHz Cortex-A7;Mali-450MP4;microSD  up to 256 GB (dedicated slot);32 GB;2 GB RAM;5 MP| autofocus;2 MP;Yes with stereo speakers;Yes;4.0| A2DP;A-GPS only;;No;microUSB 2.0;Accelerometer;Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX);Black| White;230;http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg
Acer Liquid Jade Z;Acer;Liquid Jade Z;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);Yes;2015  March;143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in);110;Dual SIM (Nano-SIM| dual stand-by);5.0 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.5 GHz Cortex-A53;Mali-T760MP2;microSD  up to 32 GB (uses SIM 2 slot);8 GB;1 GB RAM - Liquid Jade Z;13 MP| f/1.8| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP| EDR;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| gyro| proximity| compass;Non-removable Li-Po 2300 mAh battery;Black| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg
Acer Liquid Z520;Acer;Liquid Z520;;Yes;2015  March;154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in);118;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~57.1% screen-to-body ratio);480 x 854 pixels (~187 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Po 2000 mAh battery;Black| White;130;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg
Acer Liquid Z220;Acer;Liquid Z220;;Yes;2015  March;125.3 x 64 x 9.6 mm (4.93 x 2.52 x 0.38 in);120;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM| dual stand-by);4.0 inches (~56.8% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 5.0 (Lollipop);Dual-core 1.2 GHz Cortex-A7;Adreno 302;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Removable Li-Ion 1300 mAh battery;Black| White;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg
Acer Liquid M220;Acer;Liquid M220;;Yes;2015  March;124.9 x 64 x 9.6 mm (4.92 x 2.52 x 0.38 in);119;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM| dual stand-by);4.0 inches (~57.0% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Microsoft Windows Phone 8.1;Dual-core 1.2 GHz Cortex-A7;Adreno 302;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM - Liquid M220;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1300 mAh battery;Mystic Black| Pure White;80;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m220.jpg
Acer Liquid Z410;Acer;Liquid Z410;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);Yes;2015  January;136 x 66.7 x 9.9 mm (5.35 x 2.63 x 0.39 in);145;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.5% screen-to-body ratio);540 x 960 pixels (~245 ppi pixel density);Android 4.4.4 (KitKat);Quad-core 1.3 GHz Cortex-A53;Mali-T760MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes dual speakers;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Po 2000 mAh battery;Black;130;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg
Acer Liquid Jade S;Acer;Liquid Jade S;LTE band 3(1800)| 8(900)| 28(700) - Taiwan;Yes;2014  December;143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in);116;Dual SIM (Nano-SIM| dual stand-by);5.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.4 (KitKat)| upgradable to 5.1 (Lollipop);Octa-core 1.5 GHz Cortex-A53;Mali-T760MP2;microSD  up to 32 GB (uses SIM 2 slot);16 GB;2 GB RAM;13 MP| f/1.8| autofocus| LED flash| ;5 MP| f/2.2;Yes;Yes;4.0| A2DP| EDR;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Non-removable Li-Ion 2300 mAh battery;Black| White| Red| Pink;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg
Acer Liquid Z500;Acer;Liquid Z500;;Yes;2014  September;145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in);150;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~65.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);4 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes with stereo speakers;Yes;4.0| A2DP| EDR;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 2000 mAh battery;Aquamarine Green| Sandy Silver| Titanium Black;150;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg
Acer Liquid X1;Acer;Liquid X1;LTE band 3(1800)| 7(2600);Yes;2014  June;153.3 x 80.4 x 8.5 mm (6.04 x 3.17 x 0.33 in);164;Micro-SIM;5.7 inches (~72.7% screen-to-body ratio);720 x 1280 pixels (~258 ppi pixel density);Android 4.4.2 (KitKat);Octa-core 1.7 GHz Cortex-A7;Mali-450MP4;microSD  up to 32 GB (dedicated slot);16 GB;2 GB RAM;13 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 2700 mAh battery;Graphite black| Wine red;260;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg
Acer Liquid Jade;Acer;Liquid Jade;;Yes;2014  June;140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in);110;Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~71.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (uses SIM 2 slot);8 GB;1 GB RAM - Liquid Jade;13 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Non-removable Li-Ion 2100 mAh battery;Black| White| Green| Pink| Gray;180;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg
Acer Liquid E700;Acer;Liquid E700;;Yes;2014  June;147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in);155;Triple SIM (Micro-SIM);5.0 inches (~64.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);16 GB;2 GB RAM or 4 GB| 1 GB RAM;8 MP| autofocus| LED flash;2 MP| LED flash;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 3500 mAh battery;Titan Black| Burgundy Red;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg
Acer Liquid E600;Acer;Liquid E600;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);Yes;2014  June;147 x 72 x 9.5 mm (5.79 x 2.83 x 0.37 in);155;Micro-SIM;5.0 inches (~65.1% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz Cortex-A7;Adreno 305;microSD  up to 32 GB (dedicated slot);4 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP or VGA;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS;;To be confirmed;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 2500 mAh battery;Black| Green| Dark red;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg
Acer Liquid Z200;Acer;Liquid Z200;;Yes;2014  June;126 x 65 x 10.3 mm (4.96 x 2.56 x 0.41 in);130;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM| dual stand-by);4.0 inches (~55.6% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;2 MP;No;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Removable Li-Ion 1300 mAh battery;Titanium Black| Essential White| Fragrant Pink| Sky Blue| Sunshine Yellow;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg
Acer Iconia Tab 8 A1-840FHD;Acer;Iconia Tab 8 A1-840FHD;;No;2014  June;215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in);360;No;8.0 inches (~66.4% screen-to-body ratio);1200 x 1920 pixels (~283 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.86 GHz;Intel Gen 7 (Ivy Bridge);microSD  up to 32 GB (dedicated slot);16/32 GB;2 GB RAM;5 MP;2 MP;Yes;Yes;4.0| A2DP;Yes GLONASS;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion 4600 mAh battery;Silver;200;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg
Acer Iconia Tab 7 A1-713;Acer;Iconia Tab 7 A1-713;;Yes;2014  April;8.9 mm thickness;298;Yes;7.0 inches (~64.5% screen-to-body ratio);600 x 1024 pixels (~170 ppi pixel density);Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat);Quad-core;;microSD  up to 32 GB (dedicated slot);16 GB;1 GB RAM;2 MP;Yes;Yes;Yes;Yes;Yes;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion battery;Black;110;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg
Acer Iconia Tab 7 A1-713HD;Acer;Iconia Tab 7 A1-713HD;;Yes;2014  April;8.9 mm thickness;298;Yes;7.0 inches (~66.4% screen-to-body ratio);800 x 1280 pixels (~216 ppi pixel density);Android 4.4.2 (KitKat);Quad-core;;microSD  up to 32 GB (dedicated slot);16 GB;1 GB RAM;5 MP;Yes;Yes;Yes;Yes;Yes;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion battery;Black;150;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg
Acer Iconia One 7 B1-730;Acer;Iconia One 7 B1-730;;No;2014  April;8.9 mm thickness;;No;7.0 inches (~66.4% screen-to-body ratio);800 x 1280 pixels (~216 ppi pixel density);Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat);Dual-core 1.6 GHz;PowerVR SGX544MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP;Yes;Yes with stereo speakers;Yes;Yes;No;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion 3700 mAh battery;Red| white| black| blue| pink;90;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg
